zone_code,zone_name,tipo,clientes_reales,vendor_code,detalle
ZI01,ZI01,INTERNA,290,V001,IN-R10-C12 | IN-R11-C12 | IN-R12-C12 | IN-R12-C13 | IN-R12-C14 | IN-R13-C13 | IN-R13-C14 | IN-R13-C15 | IN-R13-C16 | IN-R13-C18 | IN-R14-C14 | IN-R14-C15 | IN-R14-C16 | IN-R14-C18 | IN-R14-C19 | IN-R15-C15 | IN-R15-C16 | IN-R15-C17 | IN-R15-C18 | IN-R15-C19 | IN-R15-C20 | IN-R16-C15 | IN-R16-C18 | IN-R17-C15 | IN-R17-C16 | IN-R17-C18
ZI02,ZI02,INTERNA,278,V002,IN-R10-C10 | IN-R11-C10 | IN-R12-C10 | IN-R12-C11 | IN-R13-C10 | IN-R13-C11 | IN-R13-C12
ZI03,ZI03,INTERNA,327,V003,IN-R09-C13 | IN-R09-C16 | IN-R10-C13 | IN-R10-C15 | IN-R10-C16 | IN-R10-C17 | IN-R10-C18 | IN-R11-C13 | IN-R11-C14 | IN-R11-C15 | IN-R11-C16 | IN-R11-C17 | IN-R11-C18 | IN-R11-C19 | IN-R11-C20 | IN-R12-C15 | IN-R12-C16 | IN-R12-C17 | IN-R12-C18 | IN-R12-C19 | IN-R12-C20 | IN-R13-C17 | IN-R13-C19 | IN-R13-C20 | IN-R14-C17 | IN-R14-C20
ZI04,ZI04,INTERNA,285,V004,IN-R07-C01 | IN-R08-C01 | IN-R08-C08 | IN-R09-C01 | IN-R09-C02 | IN-R09-C04 | IN-R09-C05 | IN-R09-C08 | IN-R09-C09 | IN-R09-C10 | IN-R10-C01 | IN-R10-C02 | IN-R10-C03 | IN-R10-C04 | IN-R10-C05 | IN-R10-C06 | IN-R10-C07 | IN-R10-C08 | IN-R11-C01 | IN-R11-C03 | IN-R11-C04 | IN-R11-C05 | IN-R11-C06 | IN-R12-C01 | IN-R12-C03 | IN-R12-C04
ZI05,ZI05,INTERNA,286,V005,IN-R12-C08 | IN-R12-C09 | IN-R13-C09 | IN-R14-C09 | IN-R14-C10 | IN-R14-C11 | IN-R14-C12 | IN-R14-C13 | IN-R15-C08 | IN-R15-C09 | IN-R15-C10 | IN-R15-C11 | IN-R15-C12 | IN-R15-C13 | IN-R15-C14 | IN-R16-C08 | IN-R16-C09 | IN-R16-C10 | IN-R16-C11 | IN-R16-C12 | IN-R16-C13 | IN-R16-C14 | IN-R17-C09 | IN-R17-C10 | IN-R17-C11 | IN-R18-C08 | IN-R18-C09 | IN-R18-C11
ZI06,ZI06,INTERNA,318,V006,IN-R02-C18 | IN-R03-C16 | IN-R03-C17 | IN-R03-C18 | IN-R04-C16 | IN-R04-C18 | IN-R05-C18 | IN-R05-C19 | IN-R06-C16 | IN-R06-C17 | IN-R06-C18 | IN-R06-C19 | IN-R06-C20 | IN-R07-C15 | IN-R07-C16 | IN-R07-C17 | IN-R07-C18 | IN-R07-C19 | IN-R08-C14 | IN-R08-C15 | IN-R08-C17 | IN-R09-C14 | IN-R09-C15 | IN-R10-C14
ZI07,ZI07,INTERNA,298,V007,IN-R01-C15 | IN-R01-C16 | IN-R02-C15 | IN-R02-C16 | IN-R03-C12 | IN-R03-C14 | IN-R03-C15 | IN-R04-C12 | IN-R04-C13 | IN-R04-C14 | IN-R04-C15 | IN-R04-C17 | IN-R05-C12 | IN-R05-C13 | IN-R05-C14 | IN-R05-C15 | IN-R05-C16 | IN-R05-C17 | IN-R06-C11 | IN-R06-C12 | IN-R06-C13 | IN-R06-C14 | IN-R06-C15 | IN-R07-C14
ZI08,ZI08,INTERNA,293,V008,IN-R08-C12 | IN-R09-C11 | IN-R09-C12 | IN-R10-C11 | IN-R11-C11
ZI09,ZI09,INTERNA,287,V009,IN-R01-C07 | IN-R01-C08 | IN-R01-C11 | IN-R01-C12 | IN-R01-C13 | IN-R01-C14 | IN-R02-C07 | IN-R02-C08 | IN-R02-C09 | IN-R02-C10 | IN-R02-C11 | IN-R02-C12 | IN-R02-C13 | IN-R02-C14 | IN-R03-C07 | IN-R03-C08 | IN-R03-C09 | IN-R03-C10 | IN-R03-C11 | IN-R03-C13 | IN-R04-C08 | IN-R04-C09 | IN-R04-C10 | IN-R04-C11 | IN-R05-C09 | IN-R05-C10 | IN-R05-C11 | IN-R06-C09 | IN-R06-C10 | IN-R07-C10
ZI10,ZI10,INTERNA,288,V010,IN-R04-C05 | IN-R05-C03 | IN-R05-C04 | IN-R05-C05 | IN-R05-C06 | IN-R06-C02 | IN-R06-C03 | IN-R06-C04 | IN-R06-C05 | IN-R06-C06 | IN-R06-C07 | IN-R07-C02 | IN-R07-C03 | IN-R07-C04 | IN-R07-C05 | IN-R07-C06 | IN-R07-C07 | IN-R08-C02 | IN-R08-C03 | IN-R08-C04 | IN-R08-C05 | IN-R08-C06 | IN-R08-C07 | IN-R09-C03 | IN-R09-C06 | IN-R09-C07
ZI11,ZI11,INTERNA,274,V011,IN-R10-C09 | IN-R11-C07 | IN-R11-C08 | IN-R11-C09 | IN-R12-C05 | IN-R12-C06 | IN-R12-C07 | IN-R13-C03 | IN-R13-C04 | IN-R13-C05 | IN-R13-C06 | IN-R13-C07 | IN-R13-C08 | IN-R14-C03 | IN-R14-C04 | IN-R14-C05 | IN-R14-C06 | IN-R14-C07 | IN-R14-C08 | IN-R15-C02 | IN-R15-C03 | IN-R15-C05
ZI12,ZI12,INTERNA,214,V012,IN-R15-C07 | IN-R16-C06 | IN-R16-C07 | IN-R17-C04 | IN-R17-C05 | IN-R17-C06 | IN-R17-C07 | IN-R17-C08 | IN-R17-C13 | IN-R17-C14 | IN-R18-C04 | IN-R18-C05 | IN-R18-C06 | IN-R18-C07 | IN-R18-C13 | IN-R19-C04 | IN-R19-C05 | IN-R19-C06 | IN-R19-C07 | IN-R19-C08 | IN-R19-C09 | IN-R19-C10 | IN-R19-C11 | IN-R19-C13 | IN-R20-C07 | IN-R20-C08 | IN-R20-C09 | IN-R20-C11 | IN-R20-C12 | IN-R20-C13
ZI13,ZI13,INTERNA,291,V013,IN-R01-C06 | IN-R02-C05 | IN-R02-C06 | IN-R03-C04 | IN-R03-C05 | IN-R03-C06 | IN-R04-C03 | IN-R04-C04 | IN-R04-C06 | IN-R04-C07 | IN-R05-C07 | IN-R05-C08 | IN-R06-C08 | IN-R07-C08 | IN-R07-C09 | IN-R07-C11 | IN-R07-C12 | IN-R07-C13 | IN-R08-C09 | IN-R08-C10 | IN-R08-C11 | IN-R08-C13
ZF01,ZF01,FUERA,257,V014,cluster_fuera_ZF01
ZF02,ZF02,FUERA,257,V015,cluster_fuera_ZF02
ZF03,ZF03,FUERA,256,V016,cluster_fuera_ZF03
ZF04,ZF04,FUERA,256,V017,cluster_fuera_ZF04
ZR01,ZR01,REVISION,275,V018,revision_ZR01
ZR02,ZR02,REVISION,275,V019,revision_ZR02
ZR03,ZR03,REVISION,274,V020,revision_ZR03
